Issue key,Issue id,Issue Type,Summary,Epic Link,Parent,Fix versions,Story Points,Logged Hours,Status,Resolution,Target start,Target end,Outward issue link (Blocks),Inward issue link (Blocks)
PLAT-4015,200145,Epic,Scale Rows - Platform Services - Deployment guardrails wave 16,,INIT-400,Platform Q1,,,To Do,,2026-06-22,2026-07-20,,
CORE-1028,200028,Epic,Scale Rows - Core Product - Account recovery wave 29,,INIT-100,Portfolio 2026,,,In Progress,,2026-02-23,2026-04-13,,
PLAT-4006,200136,Epic,Scale Rows - Platform Services - Artifact retention wave 07,,INIT-400,Platform Q1,,,To Do,,2026-10-12,2026-11-16,,
CORE-1019,200019,Epic,Scale Rows - Core Product - Session management wave 20,,INIT-800,Portfolio 2026,,,In Progress,,2026-06-15,2026-08-10,,
CORE-1047,200047,Epic,Scale Rows - Core Product - Fraud signal ingestion wave 48,,INIT-800,Portfolio 2026,,,In Progress,,2026-07-06,2026-08-17,,
PLAT-4025,200155,Epic,Scale Rows - Platform Services - Build runner rotation wave 26,,INIT-400,Platform Q2,,,In Progress,,2026-08-31,2026-09-28,,
CORE-1038,200038,Epic,Scale Rows - Core Product - Consent preference updates wave 39,,INIT-700,Portfolio 2026,,,In Progress,,2026-05-04,2026-06-22,,
PLAT-4016,200146,Epic,Scale Rows - Platform Services - Kubernetes platform upgrade wave 17,,INIT-400,Platform Q2,,,In Progress,,2026-06-29,2026-08-03,,
CORE-1029,200029,Epic,Scale Rows - Core Product - API gateway refresh wave 30,,INIT-200,Portfolio 2026,,,In Progress,,2026-03-02,2026-04-27,,
PLAT-4007,200137,Epic,Scale Rows - Platform Services - Deployment guardrails wave 08,,INIT-400,Platform Q2,,,In Progress,,2026-10-19,2026-11-30,,
PLAT-4026,200156,Epic,Scale Rows - Platform Services - Secrets management wave 27,,INIT-400,Shared Services 2026,,,In Progress,,2026-09-07,2026-10-12,,
CORE-1039,200039,Epic,Scale Rows - Core Product - Fraud signal ingestion wave 40,,INIT-800,Portfolio 2026,,,To Do,,2026-05-11,2026-07-06,,
PLAT-4017,200147,Epic,Scale Rows - Platform Services - Build runner rotation wave 18,,INIT-400,Shared Services 2026,,,In Progress,,2026-07-06,2026-08-17,,
PLAT-4008,200138,Epic,Scale Rows - Platform Services - Kubernetes platform upgrade wave 09,,INIT-400,Shared Services 2026,,,In Progress,,2026-10-26,2026-12-14,,
PLAT-4027,200157,Epic,Scale Rows - Platform Services - Shared logging wave 28,,INIT-400,Platform Q1,,,To Do,,2026-09-14,2026-10-26,,
PLAT-4018,200148,Epic,Scale Rows - Platform Services - Secrets management wave 19,,INIT-400,Platform Q1,,,To Do,,2026-07-13,2026-08-31,,
PLAT-4009,200139,Epic,Scale Rows - Platform Services - Build runner rotation wave 10,,INIT-400,Platform Q1,,,To Do,,2026-11-02,2026-12-28,,
PLAT-4019,200149,Epic,Scale Rows - Platform Services - Shared logging wave 20,,INIT-400,Platform Q2,,,In Progress,,2026-07-20,2026-09-14,,
,399998,Story,Client Walkthrough - Blank-key story row for CSV quality warning,,,,3,0.5,To Do,,,,,
CORE-899999,399999,Story,Client Walkthrough - Orphan child story with no Epic Link,,,,5,1h 15m,Done,Done,,,,
CORE-700001,400001,Task,Discovery task for Identity API name before Jira rename,CORE-1000,,Portfolio 2026,5,0h,Done,Done,,,,
CORE-700002,400002,Bug,Implementation bug for Identity API name before Jira rename,CORE-1000,,Portfolio 2026,8,1.5,In Progress,,,,,
CORE-700003,400003,Story,Validation story for Identity API name before Jira rename,CORE-1000,,Portfolio 2026,1,3,To Do,,,,,
CORE-700004,400004,Task,Documentation task for Identity API name before Jira rename,CORE-1000,,Portfolio 2026,2,4.5,Done,Done,,,,
CORE-700005,400005,Bug,Release readiness bug for Identity API name before Jira rename,CORE-1000,,Portfolio 2026,3,6,To Do,,,,,
CORE-700006,400006,Story,Stakeholder review story for Identity API name before Jira rename,CORE-1000,,Portfolio 2026,5,1,In Progress,,,,,
CORE-700007,400007,Task,Discovery task for Login service progress example,CORE-1001,,Portfolio 2026,3,4h 30m,Done,Done,,,,
CORE-700008,400008,Bug,Implementation bug for Login service progress example,CORE-1001,,Portfolio 2026,5,6,To Do,,,,,
CORE-700009,400009,Story,Validation story for Login service progress example,CORE-1001,,Portfolio 2026,8,1,To Do,,,,,
CORE-700010,400010,Task,Documentation task for Login service progress example,CORE-1001,,Portfolio 2026,1,2.5,To Do,,,,,
CORE-700011,400011,Bug,Release readiness bug for Login service progress example,CORE-1001,,Portfolio 2026,2,4,To Do,,,,,
CORE-700012,400012,Story,Stakeholder review story for Login service progress example,CORE-1001,,Portfolio 2026,3,5.5,To Do,,,,,
CORE-700013,400013,Task,Operational handoff task for Login service progress example,CORE-1001,,Portfolio 2026,5,0.5,To Do,,,,,
CORE-700014,400014,Bug,Discovery bug for Access audit completion example,CORE-1002,,Portfolio 2026,2,2h 30m,Done,Done,,,,
CORE-700015,400015,Story,Implementation story for Access audit completion example,CORE-1002,,Portfolio 2026,3,4,In Progress,,,,,
CORE-700016,400016,Task,Validation task for Access audit completion example,CORE-1002,,Portfolio 2026,5,5.5,To Do,,,,,
CORE-700017,400017,Bug,Documentation bug for Access audit completion example,CORE-1002,,Portfolio 2026,8,0.5,Done,Done,,,,
CORE-700018,400018,Story,Release readiness story for Access audit completion example,CORE-1002,,Portfolio 2026,1,2,To Do,,,,,
CORE-700019,400019,Task,Stakeholder review task for Access audit completion example,CORE-1002,,Portfolio 2026,2,3.5,In Progress,,,,,
CORE-700020,400020,Bug,Discovery bug for Billing integration rollup move example,CORE-1003,,Portfolio 2026,1,0h 30m,Done,Done,,,,
CORE-700021,400021,Story,Implementation story for Billing integration rollup move example,CORE-1003,,Portfolio 2026,2,2,To Do,,,,,
CORE-700022,400022,Task,Validation task for Billing integration rollup move example,CORE-1003,,Portfolio 2026,3,3.5,In Progress,,,,,
CORE-700023,400023,Bug,Documentation bug for Billing integration rollup move example,CORE-1003,,Portfolio 2026,5,5,Done,Done,,,,
CORE-700024,400024,Story,Release readiness story for Billing integration rollup move example,CORE-1003,,Portfolio 2026,8,0,In Progress,,,,,
CORE-700025,400025,Task,Stakeholder review task for Billing integration rollup move example,CORE-1003,,Portfolio 2026,1,1.5,To Do,,,,,
CORE-700026,400026,Bug,Operational handoff bug for Billing integration rollup move example,CORE-1003,,Portfolio 2026,2,3,Done,Done,,,,
CORE-700027,400027,Story,Discovery story for Payment cutover schedule driver candidate,CORE-1004,,Portfolio 2026,8,5h,Done,Done,,,,
CORE-700028,400028,Task,Implementation task for Payment cutover schedule driver candidate,CORE-1004,,Portfolio 2026,1,0,In Progress,,,,,
CORE-700029,400029,Bug,Validation bug for Payment cutover schedule driver candidate,CORE-1004,,Portfolio 2026,2,1.5,To Do,,,,,
CORE-700030,400030,Story,Documentation story for Payment cutover schedule driver candidate,CORE-1004,,Portfolio 2026,3,3,Done,Done,,,,
CORE-700031,400031,Task,Release readiness task for Payment cutover schedule driver candidate,CORE-1004,,Portfolio 2026,5,4.5,To Do,,,,,
CORE-700032,400032,Bug,Stakeholder review bug for Payment cutover schedule driver candidate,CORE-1004,,Portfolio 2026,8,6,In Progress,,,,,
CORE-700033,400033,Story,Discovery story for Payment cutover downstream dependency,CORE-1005,,Portfolio 2026,5,3h,Done,Done,,,,
CORE-700034,400034,Task,Implementation task for Payment cutover downstream dependency,CORE-1005,,Portfolio 2026,8,4.5,To Do,,,,,
CORE-700035,400035,Bug,Validation bug for Payment cutover downstream dependency,CORE-1005,,Portfolio 2026,1,6,In Progress,,,,,
CORE-700036,400036,Story,Documentation story for Payment cutover downstream dependency,CORE-1005,,Portfolio 2026,2,1,Done,Done,,,,
CORE-700037,400037,Task,Release readiness task for Payment cutover downstream dependency,CORE-1005,,Portfolio 2026,3,2.5,In Progress,,,,,
CORE-700038,400038,Bug,Stakeholder review bug for Payment cutover downstream dependency,CORE-1005,,Portfolio 2026,5,4,To Do,,,,,
CORE-700039,400039,Story,Operational handoff story for Payment cutover downstream dependency,CORE-1005,,Portfolio 2026,8,5.5,Done,Done,,,,
CORE-700040,400040,Task,Discovery task for Vendor gateway missing dependency example,CORE-1006,,Portfolio 2026,3,1h,Done,Done,,,,
CORE-700041,400041,Bug,Implementation bug for Vendor gateway missing dependency example,CORE-1006,,Portfolio 2026,5,2.5,In Progress,,,,,
CORE-700042,400042,Story,Validation story for Vendor gateway missing dependency example,CORE-1006,,Portfolio 2026,8,4,To Do,,,,,
CORE-700043,400043,Task,Documentation task for Vendor gateway missing dependency example,CORE-1006,,Portfolio 2026,1,5.5,Done,Done,,,,
CORE-700044,400044,Bug,Release readiness bug for Vendor gateway missing dependency example,CORE-1006,,Portfolio 2026,2,0.5,To Do,,,,,
CORE-700045,400045,Story,Stakeholder review story for Vendor gateway missing dependency example,CORE-1006,,Portfolio 2026,3,2,In Progress,,,,,
CORE-700046,400046,Task,Discovery task for Account settings dependency change example,CORE-1007,,Portfolio 2026,2,5h 30m,Done,Done,,,,
CORE-700047,400047,Bug,Implementation bug for Account settings dependency change example,CORE-1007,,Portfolio 2026,3,0.5,To Do,,,,,
CORE-700048,400048,Story,Validation story for Account settings dependency change example,CORE-1007,,Portfolio 2026,5,2,In Progress,,,,,
CORE-700049,400049,Task,Documentation task for Account settings dependency change example,CORE-1007,,Portfolio 2026,8,3.5,Done,Done,,,,
CORE-700050,400050,Bug,Release readiness bug for Account settings dependency change example,CORE-1007,,Portfolio 2026,1,5,In Progress,,,,,
CORE-700051,400051,Story,Stakeholder review story for Account settings dependency change example,CORE-1007,,Portfolio 2026,2,0,To Do,,,,,
CORE-700052,400052,Task,Operational handoff task for Account settings dependency change example,CORE-1007,,Portfolio 2026,3,1.5,Done,Done,,,,
CORE-700053,400053,Bug,Discovery bug for Legacy schedule item present only in baseline,CORE-1048,,Portfolio 2026,3,0h,To Do,,,,,
CORE-700054,400054,Story,Implementation story for Legacy schedule item present only in baseline,CORE-1048,,Portfolio 2026,5,1.5,Done,Done,,,,
CORE-700055,400055,Task,Validation task for Legacy schedule item present only in baseline,CORE-1048,,Portfolio 2026,8,3,To Do,,,,,
CORE-700056,400056,Bug,Documentation bug for Legacy schedule item present only in baseline,CORE-1048,,Portfolio 2026,1,4.5,In Progress,,,,,
CORE-700057,400057,Story,Release readiness story for Legacy schedule item present only in baseline,CORE-1048,,Portfolio 2026,2,6,Done,Done,,,,
CORE-700058,400058,Task,Stakeholder review task for Legacy schedule item present only in baseline,CORE-1048,,Portfolio 2026,3,1,In Progress,,,,,
CORE-700059,400059,Bug,Discovery bug for Marketplace experiment missing rollup example,CORE-1049,,Portfolio 2026,2,4h 30m,In Progress,,,,,
CORE-700060,400060,Story,Implementation story for Marketplace experiment missing rollup example,CORE-1049,,Portfolio 2026,3,6,Done,Done,,,,
CORE-700061,400061,Task,Validation task for Marketplace experiment missing rollup example,CORE-1049,,Portfolio 2026,5,1,In Progress,,,,,
CORE-700062,400062,Bug,Documentation bug for Marketplace experiment missing rollup example,CORE-1049,,Portfolio 2026,8,2.5,To Do,,,,,
CORE-700063,400063,Story,Release readiness story for Marketplace experiment missing rollup example,CORE-1049,,Portfolio 2026,1,4,Done,Done,,,,
CORE-700064,400064,Task,Stakeholder review task for Marketplace experiment missing rollup example,CORE-1049,,Portfolio 2026,2,5.5,To Do,,,,,
CORE-700065,400065,Bug,Operational handoff bug for Marketplace experiment missing rollup example,CORE-1049,,Portfolio 2026,3,0.5,In Progress,,,,,
WEB-700066,400066,Story,Discovery story for Web launch self dependency example,WEB-2008,,Portfolio 2026,1,0h 30m,In Progress,,,,,
WEB-700067,400067,Task,Implementation task for Web launch self dependency example,WEB-2008,,Portfolio 2026,2,2,Done,Done,,,,
WEB-700068,400068,Bug,Validation bug for Web launch self dependency example,WEB-2008,,Portfolio 2026,3,3.5,In Progress,,,,,
WEB-700069,400069,Story,Documentation story for Web launch self dependency example,WEB-2008,,Portfolio 2026,5,5,To Do,,,,,
WEB-700070,400070,Task,Release readiness task for Web launch self dependency example,WEB-2008,,Portfolio 2026,8,0,Done,Done,,,,
WEB-700071,400071,Bug,Stakeholder review bug for Web launch self dependency example,WEB-2008,,Portfolio 2026,1,1.5,To Do,,,,,
DATA-700072,400072,Story,Discovery story for Warehouse migration circular dependency A,DATA-3008,,Portfolio 2026,1,4h,In Progress,,,,,
DATA-700073,400073,Task,Implementation task for Warehouse migration circular dependency A,DATA-3008,,Portfolio 2026,2,5.5,Done,Done,,,,
DATA-700074,400074,Bug,Validation bug for Warehouse migration circular dependency A,DATA-3008,,Portfolio 2026,3,0.5,In Progress,,,,,
DATA-700075,400075,Story,Documentation story for Warehouse migration circular dependency A,DATA-3008,,Portfolio 2026,5,2,To Do,,,,,
DATA-700076,400076,Task,Release readiness task for Warehouse migration circular dependency A,DATA-3008,,Portfolio 2026,8,3.5,Done,Done,,,,
DATA-700077,400077,Bug,Stakeholder review bug for Warehouse migration circular dependency A,DATA-3008,,Portfolio 2026,1,5,To Do,,,,,
DATA-700078,400078,Story,Discovery story for Warehouse migration circular dependency B,DATA-3009,,Portfolio 2026,8,2h,To Do,,,,,
DATA-700079,400079,Task,Implementation task for Warehouse migration circular dependency B,DATA-3009,,Portfolio 2026,1,3.5,Done,Done,,,,
DATA-700080,400080,Bug,Validation bug for Warehouse migration circular dependency B,DATA-3009,,Portfolio 2026,2,5,To Do,,,,,
DATA-700081,400081,Story,Documentation story for Warehouse migration circular dependency B,DATA-3009,,Portfolio 2026,3,0,In Progress,,,,,
DATA-700082,400082,Task,Release readiness task for Warehouse migration circular dependency B,DATA-3009,,Portfolio 2026,5,1.5,Done,Done,,,,
DATA-700083,400083,Bug,Discovery bug for Forecast refresh invalid date example,DATA-3034,,Portfolio 2026,5,4h 30m,In Progress,,,,,
DATA-700084,400084,Story,Implementation story for Forecast refresh invalid date example,DATA-3034,,Portfolio 2026,8,6,Done,Done,,,,
DATA-700085,400085,Task,Validation task for Forecast refresh invalid date example,DATA-3034,,Portfolio 2026,1,1,In Progress,,,,,
DATA-700086,400086,Bug,Documentation bug for Forecast refresh invalid date example,DATA-3034,,Portfolio 2026,2,2.5,To Do,,,,,
DATA-700087,400087,Story,Release readiness story for Forecast refresh invalid date example,DATA-3034,,Portfolio 2026,3,4,Done,Done,,,,
DATA-700088,400088,Task,Stakeholder review task for Forecast refresh invalid date example,DATA-3034,,Portfolio 2026,5,5.5,To Do,,,,,
PLAT-700089,400089,Bug,Discovery bug for Qualification software reference example,PLAT-4028,,Qualification Event 1,1,2h 30m,To Do,,,,,
PLAT-700090,400090,Story,Implementation story for Qualification software reference example,PLAT-4028,,Qualification Event 1,2,4,Done,Done,,,,
PLAT-700091,400091,Task,Validation task for Qualification software reference example,PLAT-4028,,Qualification Event 1,3,5.5,To Do,,,,,
PLAT-700092,400092,Bug,Documentation bug for Qualification software reference example,PLAT-4028,,Qualification Event 1,5,0.5,In Progress,,,,,
PLAT-700093,400093,Story,Release readiness story for Qualification software reference example,PLAT-4028,,Qualification Event 1,8,2,Done,Done,,,,
PLAT-700094,400094,Task,Discovery task for Deployment runner fixVersion example,PLAT-4029,,Shared Services 2026,8,0h 30m,In Progress,,,,,
PLAT-700095,400095,Bug,Implementation bug for Deployment runner fixVersion example,PLAT-4029,,Shared Services 2026,1,2,Done,Done,,,,
PLAT-700096,400096,Story,Validation story for Deployment runner fixVersion example,PLAT-4029,,Shared Services 2026,2,3.5,In Progress,,,,,
PLAT-700097,400097,Task,Documentation task for Deployment runner fixVersion example,PLAT-4029,,Shared Services 2026,3,5,To Do,,,,,
PLAT-700098,400098,Bug,Release readiness bug for Deployment runner fixVersion example,PLAT-4029,,Shared Services 2026,5,0,Done,Done,,,,
PLAT-700099,400099,Story,Stakeholder review story for Deployment runner fixVersion example,PLAT-4029,,Shared Services 2026,8,1.5,To Do,,,,,
OPS-700100,400100,Task,Discovery task for Shop deliverable split fixVersion example,OPS-5019,,Qualification Event 2,1,2h 30m,To Do,,,,,
OPS-700101,400101,Bug,Implementation bug for Shop deliverable split fixVersion example,OPS-5019,,Qualification Event 2,2,4,In Progress,,,,,
OPS-700102,400102,Story,Validation story for Shop deliverable split fixVersion example,OPS-5019,,Qualification Event 2,3,5.5,Done,Done,,,,
OPS-700103,400103,Task,Documentation task for Shop deliverable split fixVersion example,OPS-5019,,Qualification Event 2,5,0.5,In Progress,,,,,
OPS-700104,400104,Bug,Release readiness bug for Shop deliverable split fixVersion example,OPS-5019,,Qualification Event 2,8,2,To Do,,,,,
WEB-700105,400105,Story,Discovery story for Scale Rows - Web Experience - Search results tuning wave 01,WEB-2000,,Portfolio 2026,2,1h,In Progress,,,,,
WEB-700106,400106,Task,Implementation task for Scale Rows - Web Experience - Search results tuning wave 01,WEB-2000,,Portfolio 2026,3,2.5,To Do,,,,,
WEB-700107,400107,Bug,Validation bug for Scale Rows - Web Experience - Search results tuning wave 01,WEB-2000,,Portfolio 2026,5,4,Done,Done,,,,
WEB-700108,400108,Story,Documentation story for Scale Rows - Web Experience - Search results tuning wave 01,WEB-2000,,Portfolio 2026,8,5.5,To Do,,,,,
WEB-700109,400109,Task,Release readiness task for Scale Rows - Web Experience - Search results tuning wave 01,WEB-2000,,Portfolio 2026,1,0.5,In Progress,,,,,
WEB-700110,400110,Bug,Stakeholder review bug for Scale Rows - Web Experience - Search results tuning wave 01,WEB-2000,,Portfolio 2026,2,2,Done,Done,,,,
WEB-700111,400111,Story,Discovery story for Scale Rows - Web Experience - Checkout web flow wave 02,WEB-2001,,Portfolio 2026,8,5h,Done,Done,,,,
WEB-700112,400112,Task,Implementation task for Scale Rows - Web Experience - Checkout web flow wave 02,WEB-2001,,Portfolio 2026,1,0,To Do,,,,,
WEB-700113,400113,Bug,Validation bug for Scale Rows - Web Experience - Checkout web flow wave 02,WEB-2001,,Portfolio 2026,2,1.5,In Progress,,,,,
WEB-700114,400114,Story,Documentation story for Scale Rows - Web Experience - Checkout web flow wave 02,WEB-2001,,Portfolio 2026,3,3,Done,Done,,,,
WEB-700115,400115,Task,Release readiness task for Scale Rows - Web Experience - Checkout web flow wave 02,WEB-2001,,Portfolio 2026,5,4.5,In Progress,,,,,
WEB-700116,400116,Bug,Stakeholder review bug for Scale Rows - Web Experience - Checkout web flow wave 02,WEB-2001,,Portfolio 2026,8,6,To Do,,,,,
WEB-700117,400117,Story,Discovery story for Scale Rows - Web Experience - Content publishing wave 21,WEB-2020,,Portfolio 2026,1,1h 30m,Done,Done,,,,
WEB-700118,400118,Task,Implementation task for Scale Rows - Web Experience - Content publishing wave 21,WEB-2020,,Portfolio 2026,2,3,To Do,,,,,
WEB-700119,400119,Bug,Validation bug for Scale Rows - Web Experience - Content publishing wave 21,WEB-2020,,Portfolio 2026,3,4.5,In Progress,,,,,
WEB-700120,400120,Story,Documentation story for Scale Rows - Web Experience - Content publishing wave 21,WEB-2020,,Portfolio 2026,5,6,Done,Done,,,,
WEB-700121,400121,Task,Release readiness task for Scale Rows - Web Experience - Content publishing wave 21,WEB-2020,,Portfolio 2026,8,1,In Progress,,,,,
WEB-700122,400122,Bug,Stakeholder review bug for Scale Rows - Web Experience - Content publishing wave 21,WEB-2020,,Portfolio 2026,1,2.5,To Do,,,,,
WEB-700123,400123,Story,Discovery story for Scale Rows - Web Experience - Accessibility remediation wave 12,WEB-2011,,Portfolio 2026,2,2h,To Do,,,,,
WEB-700124,400124,Task,Implementation task for Scale Rows - Web Experience - Accessibility remediation wave 12,WEB-2011,,Portfolio 2026,3,3.5,In Progress,,,,,
WEB-700125,400125,Bug,Validation bug for Scale Rows - Web Experience - Accessibility remediation wave 12,WEB-2011,,Portfolio 2026,5,5,Done,Done,,,,
WEB-700126,400126,Story,Documentation story for Scale Rows - Web Experience - Accessibility remediation wave 12,WEB-2011,,Portfolio 2026,8,0,In Progress,,,,,
WEB-700127,400127,Task,Release readiness task for Scale Rows - Web Experience - Accessibility remediation wave 12,WEB-2011,,Portfolio 2026,1,1.5,To Do,,,,,
WEB-700128,400128,Bug,Discovery bug for Scale Rows - Web Experience - Homepage personalization wave 03,WEB-2002,,Portfolio 2026,3,2h 30m,In Progress,,,,,
WEB-700129,400129,Story,Implementation story for Scale Rows - Web Experience - Homepage personalization wave 03,WEB-2002,,Portfolio 2026,5,4,Done,Done,,,,
WEB-700130,400130,Task,Validation task for Scale Rows - Web Experience - Homepage personalization wave 03,WEB-2002,,Portfolio 2026,8,5.5,In Progress,,,,,
WEB-700131,400131,Bug,Documentation bug for Scale Rows - Web Experience - Homepage personalization wave 03,WEB-2002,,Portfolio 2026,1,0.5,To Do,,,,,
WEB-700132,400132,Story,Release readiness story for Scale Rows - Web Experience - Homepage personalization wave 03,WEB-2002,,Portfolio 2026,2,2,Done,Done,,,,
WEB-700133,400133,Task,Stakeholder review task for Scale Rows - Web Experience - Homepage personalization wave 03,WEB-2002,,Portfolio 2026,3,3.5,To Do,,,,,
WEB-700134,400134,Bug,Discovery bug for Scale Rows - Web Experience - Localization pass wave 31,WEB-2030,,Portfolio 2026,3,5h,To Do,,,,,
WEB-700135,400135,Story,Implementation story for Scale Rows - Web Experience - Localization pass wave 31,WEB-2030,,Portfolio 2026,5,0,In Progress,,,,,
WEB-700136,400136,Task,Validation task for Scale Rows - Web Experience - Localization pass wave 31,WEB-2030,,Portfolio 2026,8,1.5,Done,Done,,,,
WEB-700137,400137,Bug,Documentation bug for Scale Rows - Web Experience - Localization pass wave 31,WEB-2030,,Portfolio 2026,1,3,In Progress,,,,,
WEB-700138,400138,Story,Release readiness story for Scale Rows - Web Experience - Localization pass wave 31,WEB-2030,,Portfolio 2026,2,4.5,To Do,,,,,
WEB-700139,400139,Task,Discovery task for Scale Rows - Web Experience - Navigation refresh wave 22,WEB-2021,,Portfolio 2026,5,5h 30m,In Progress,,,,,
WEB-700140,400140,Bug,Implementation bug for Scale Rows - Web Experience - Navigation refresh wave 22,WEB-2021,,Portfolio 2026,8,0.5,Done,Done,,,,
WEB-700141,400141,Story,Validation story for Scale Rows - Web Experience - Navigation refresh wave 22,WEB-2021,,Portfolio 2026,1,2,In Progress,,,,,
WEB-700142,400142,Task,Documentation task for Scale Rows - Web Experience - Navigation refresh wave 22,WEB-2021,,Portfolio 2026,2,3.5,To Do,,,,,
WEB-700143,400143,Bug,Release readiness bug for Scale Rows - Web Experience - Navigation refresh wave 22,WEB-2021,,Portfolio 2026,3,5,Done,Done,,,,
WEB-700144,400144,Story,Stakeholder review story for Scale Rows - Web Experience - Navigation refresh wave 22,WEB-2021,,Portfolio 2026,5,0,To Do,,,,,
WEB-700145,400145,Task,Discovery task for Scale Rows - Web Experience - Content publishing wave 13,WEB-2012,,Portfolio 2026,8,6h,Done,Done,,,,
WEB-700146,400146,Bug,Implementation bug for Scale Rows - Web Experience - Content publishing wave 13,WEB-2012,,Portfolio 2026,1,1,In Progress,,,,,
WEB-700147,400147,Story,Validation story for Scale Rows - Web Experience - Content publishing wave 13,WEB-2012,,Portfolio 2026,2,2.5,To Do,,,,,
WEB-700148,400148,Task,Documentation task for Scale Rows - Web Experience - Content publishing wave 13,WEB-2012,,Portfolio 2026,3,4,Done,Done,,,,
WEB-700149,400149,Bug,Release readiness bug for Scale Rows - Web Experience - Content publishing wave 13,WEB-2012,,Portfolio 2026,5,5.5,To Do,,,,,
WEB-700150,400150,Story,Discovery story for Scale Rows - Web Experience - Accessibility remediation wave 04,WEB-2003,,Portfolio 2026,1,0h,In Progress,,,,,
WEB-700151,400151,Task,Implementation task for Scale Rows - Web Experience - Accessibility remediation wave 04,WEB-2003,,Portfolio 2026,2,1.5,To Do,,,,,
WEB-700152,400152,Bug,Validation bug for Scale Rows - Web Experience - Accessibility remediation wave 04,WEB-2003,,Portfolio 2026,3,3,Done,Done,,,,
WEB-700153,400153,Story,Documentation story for Scale Rows - Web Experience - Accessibility remediation wave 04,WEB-2003,,Portfolio 2026,5,4.5,To Do,,,,,
WEB-700154,400154,Task,Release readiness task for Scale Rows - Web Experience - Accessibility remediation wave 04,WEB-2003,,Portfolio 2026,8,6,In Progress,,,,,
WEB-700155,400155,Bug,Stakeholder review bug for Scale Rows - Web Experience - Accessibility remediation wave 04,WEB-2003,,Portfolio 2026,1,1,Done,Done,,,,
WEB-700156,400156,Story,Discovery story for Scale Rows - Web Experience - Search results tuning wave 41,WEB-2040,,Portfolio 2026,8,2h,In Progress,,,,,
WEB-700157,400157,Task,Implementation task for Scale Rows - Web Experience - Search results tuning wave 41,WEB-2040,,Portfolio 2026,1,3.5,Done,Done,,,,
WEB-700158,400158,Bug,Validation bug for Scale Rows - Web Experience - Search results tuning wave 41,WEB-2040,,Portfolio 2026,2,5,In Progress,,,,,
WEB-700159,400159,Story,Documentation story for Scale Rows - Web Experience - Search results tuning wave 41,WEB-2040,,Portfolio 2026,3,0,To Do,,,,,
WEB-700160,400160,Task,Release readiness task for Scale Rows - Web Experience - Search results tuning wave 41,WEB-2040,,Portfolio 2026,5,1.5,Done,Done,,,,
WEB-700161,400161,Bug,Stakeholder review bug for Scale Rows - Web Experience - Search results tuning wave 41,WEB-2040,,Portfolio 2026,8,3,To Do,,,,,
WEB-700162,400162,Story,Discovery story for Scale Rows - Web Experience - Experiment cleanup wave 32,WEB-2031,,Portfolio 2026,1,2h 30m,Done,Done,,,,
WEB-700163,400163,Task,Implementation task for Scale Rows - Web Experience - Experiment cleanup wave 32,WEB-2031,,Portfolio 2026,2,4,In Progress,,,,,
WEB-700164,400164,Bug,Validation bug for Scale Rows - Web Experience - Experiment cleanup wave 32,WEB-2031,,Portfolio 2026,3,5.5,To Do,,,,,
WEB-700165,400165,Story,Documentation story for Scale Rows - Web Experience - Experiment cleanup wave 32,WEB-2031,,Portfolio 2026,5,0.5,Done,Done,,,,
WEB-700166,400166,Task,Release readiness task for Scale Rows - Web Experience - Experiment cleanup wave 32,WEB-2031,,Portfolio 2026,8,2,To Do,,,,,
WEB-700167,400167,Bug,Discovery bug for Scale Rows - Web Experience - Localization pass wave 23,WEB-2022,,Portfolio 2026,2,3h,In Progress,,,,,
WEB-700168,400168,Story,Implementation story for Scale Rows - Web Experience - Localization pass wave 23,WEB-2022,,Portfolio 2026,3,4.5,To Do,,,,,
WEB-700169,400169,Task,Validation task for Scale Rows - Web Experience - Localization pass wave 23,WEB-2022,,Portfolio 2026,5,6,Done,Done,,,,
WEB-700170,400170,Bug,Documentation bug for Scale Rows - Web Experience - Localization pass wave 23,WEB-2022,,Portfolio 2026,8,1,To Do,,,,,
WEB-700171,400171,Story,Release readiness story for Scale Rows - Web Experience - Localization pass wave 23,WEB-2022,,Portfolio 2026,1,2.5,In Progress,,,,,
WEB-700172,400172,Task,Stakeholder review task for Scale Rows - Web Experience - Localization pass wave 23,WEB-2022,,Portfolio 2026,2,4,Done,Done,,,,
WEB-700173,400173,Bug,Discovery bug for Scale Rows - Web Experience - Navigation refresh wave 14,WEB-2013,,Portfolio 2026,3,3h 30m,To Do,,,,,
WEB-700174,400174,Story,Implementation story for Scale Rows - Web Experience - Navigation refresh wave 14,WEB-2013,,Portfolio 2026,5,5,Done,Done,,,,
WEB-700175,400175,Task,Validation task for Scale Rows - Web Experience - Navigation refresh wave 14,WEB-2013,,Portfolio 2026,8,0,To Do,,,,,
WEB-700176,400176,Bug,Documentation bug for Scale Rows - Web Experience - Navigation refresh wave 14,WEB-2013,,Portfolio 2026,1,1.5,In Progress,,,,,
WEB-700177,400177,Story,Release readiness story for Scale Rows - Web Experience - Navigation refresh wave 14,WEB-2013,,Portfolio 2026,2,3,Done,Done,,,,
WEB-700178,400178,Task,Discovery task for Scale Rows - Web Experience - Content publishing wave 05,WEB-2004,,Portfolio 2026,5,4h,Done,Done,,,,
